"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"806",30,"2016-01-05 20:24:10",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"805",17,"2016-01-05 20:24:25",-57.9537637,-34.9206796,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"804",30,"2016-01-05 20:33:42",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"803",14,"2016-01-05 20:37:14",-60.4289717,-24.5955305,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"802",25,"2016-01-05 20:48:37",-48.9781318,-27.0864325,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"801",23,"2016-01-05 21:05:25",-50.9191218,-17.7921254,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"800",38,"2016-01-05 21:07:25",123.8930839,10.3090298,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"799",27,"2016-01-05 21:08:29",-48.9525755,-16.3332827,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"798",26,"2016-01-05 21:13:55",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"797",3,"2016-01-05 21:31:02",-75.0458514,-6.8699696,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"796",26,"2016-01-05 21:35:21",-46.1909468,-23.5241171,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"795",NA,"2016-01-05 21:38:02",-64.9912285,-17.0568695,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"794",26,"2016-01-05 21:45:18",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"793",28,"2016-01-05 21:52:20",-48.3337792,-10.1835603,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"792",31,"2016-01-05 21:54:01",-44.0840952,-19.9132748,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"791",31,"2016-01-05 22:02:36",-41.2554621,-19.3254412,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"790",NA,"2016-01-05 22:20:00",-155.9608427,19.5625262,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"789",26,"2016-01-05 22:25:57",-47.806667,-21.1783329,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"788",26,"2016-01-05 22:28:36",-47.806667,-21.1783329,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"787",8,"2016-01-05 22:29:23",-71.0595677,42.3604823,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"786",25,"2016-01-05 22:31:08",-49.2712361,-25.4295696,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"785",30,"2016-01-05 22:34:03",-40.2920625,-20.3297248,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"784",26,"2016-01-05 22:38:39",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"783",2,"2016-01-05 22:42:38",-84.8700307,12.3724928,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"782",34,"2016-01-05 22:56:12",-35.9722851,-8.2829701,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"781",30,"2016-01-05 23:04:27",-44.71747,-23.2221122,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"780",26,"2016-01-05 23:05:52",-46.3199829,-23.3964759,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"779",34,"2016-01-05 23:08:12",-35.2080904,-5.8053979,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"778",26,"2016-01-05 23:33:36",-49.3804211,-20.812585,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"777",25,"2016-01-05 23:33:56",-49.2712361,-25.4295696,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"776",26,"2016-01-05 23:43:06",-45.0541669,-22.1163889,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"775",29,"2016-01-05 23:46:11",-48.4682452,-1.4505599,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"774",NA,"2016-01-06 00:03:02",-66.2025666,-28.1400306,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"773",18,"2016-01-06 00:04:13",-57.6311195,-25.2959915,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"772",4,"2016-01-06 00:05:20",-79.3666964,-1.3397667,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"771",NA,"2016-01-06 00:18:21",151.210047,-33.8679573,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"770",25,"2016-01-06 00:31:30",-49.2712361,-25.4295696,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"769",26,"2016-01-06 00:48:04",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
